,first_name,genders,use,descriptions
418,Fintan,m,Irish,"Fintan m Irish, Irish MythologyPossibly means either ""white fire"" or ""white bull"" in Irish. According to legend this was the name of the only Irish person to survive the great flood. This name was also borne by many Irish saints."
419,Fionn,m,Irish,"Fionn m Irish, Irish MythologyFrom Irish fionn (older Irish finn) meaning ""fair"" or ""white"". Fionn mac Cumhail was a legendary Irish hero who became all-wise by eating an enchanted salmon. He fought against the giant Fomors with his son Oisín and grandson Oscar."
420,Fionnghuala,f,Irish,"Fionnghuala f Irish, Scottish, Irish MythologyVariant of Fionnuala."
421,Fionnuala,f,Irish,"Fionnuala f Irish, Irish MythologyMeans ""white shoulder"" from Irish fionn ""white, fair"" and guala ""shoulder"". In Irish legend Fionnuala was one of the four children of Lir who were transformed into swans for a period of 900 years."
422,Flora,f,English,"Flora f English, Italian, Spanish, Portuguese, German, Dutch, French, Roman MythologyDerived from Latin flos meaning ""flower"". Flora was the Roman goddess of flowers and spring, the wife of Zephyr the west wind. It has been used as a given name since the Renaissance, starting in France. In Scotland it was sometimes used as an Anglicized form of Fionnghuala."
423,Fortuna,f,Roman Mythology,"Fortuna f Roman MythologyMeans ""luck"" in Latin. In Roman mythology this was the name of the personification of luck."
424,Frea,f,Norse Mythology,Frea f Norse MythologyVariant of Freya.
425,Frey,m,Norse Mythology,Frey m Norse MythologyVariant of Freyr.
426,Freya,f,Norse Mythology,"Freya f Norse Mythology, English (Modern), GermanFrom Old Norse Freyja meaning ""lady"". This is the name of a goddess associated with love, beauty, war and death in Norse mythology. She claims half of the heroes who are slain in battle and brings them to her realm of Fólkvangr. Along with her brother Freyr and father Njord, she is one of the Vanir (as opposed to the Æsir). Some scholars connect her with the goddess Frigg.... [more]"
427,Freyja,f,Icelandic,"Freyja f Icelandic, Norse MythologyIcelandic and Old Norse form of Freya."
428,Freyr,m,Norse Mythology,"Freyr m Norse Mythology, IcelandicMeans ""lord"" in Old Norse. This is the name of a Norse god. He may have originally been called Yngvi, with the name Freyr being his title. Freyr is associated with fertility, sunlight and rain, and is the husband of the frost giantess Gerd. With his twin sister Freya and father Njord he is one of the group of deities called the Vanir."
429,Frige,f,Anglo-Saxon Mythology,Frige f Anglo-Saxon MythologyAnglo-Saxon cognate of Frigg.
430,Frigg,f,Norse Mythology,"Frigg f Norse MythologyMeans ""beloved"" in Old Norse, ultimately derived from Indo-European *pri ""to love"". In Norse mythology she was the wife of Odin and the mother of Balder. Some scholars believe that she and the goddess Freya share a common origin."
431,Fūjin,m,Japanese Mythology,"Fūjin m Japanese MythologyFrom Japanese 風 (fū) meaning ""wind"" and 神 (jin) meaning ""god, spirit"". This is the name of the Japanese wind god, who carries the wind in a bag over his shoulders."
432,Gabija,f,Lithuanian,"Gabija f Lithuanian, Baltic MythologyProbably from Lithuanian gaubti meaning ""to cover"". In Lithuanian mythology this was the name of the goddess of fire and the home."
433,Gaea,f,Greek Mythology (Latinized),Gaea f Greek Mythology (Latinized)Latinized form of Gaia.
434,Gaia,f,Greek Mythology,"Gaia f Greek Mythology, ItalianFrom the Greek word γαῖα (gaia), a parallel form of γῆ (ge) meaning ""earth"". In Greek mythology Gaia was the mother goddess who presided over the earth. She was the mate of Uranus and the mother of the Titans and the Cyclopes."
435,Gandalf,m,Norse Mythology,"Gandalf m Norse Mythology, LiteratureMeans ""wand elf"" in Old Norse, from the elements gandr ""wand, staff, magic, monster"" and alfr ""elf"". This name belongs to a dwarf (Gandálfr) in the Völuspá, a 13th-century Scandinavian manuscript that forms part of the Poetic Edda. The author J. R. R. Tolkien borrowed the name for a wizard in his novels The Hobbit (1937) and The Lord of the Rings (1954)."
436,Gandálfr,m,Norse Mythology,Gandálfr m Norse MythologyOld Norse form of Gandalf.
437,Ganesha,m,Hinduism,"Ganesha m HinduismMeans ""lord of hordes"" from Sanskrit गण (gana) meaning ""horde, multitude"" and ईश (isha) meaning ""lord, ruler"". This is the name of the Hindu god of wisdom and good luck, the son of Shiva and Parvati. He is often depicted as a stout man with the head of an elephant."
438,Ganymede,m,Greek Mythology (Anglicized),"Ganymede m Greek Mythology (Anglicized)From Greek Γανυμήδης (Ganymedes), which was possibly derived from γάνυμαι (ganymai) meaning ""to be glad"" and μήδεα (medea) meaning ""plans, counsel, cunning"". In Greek mythology this was the name of a beautiful boy who was abducted by Zeus to become the cupbearer to the gods, the successor of Hebe. A moon of Jupiter is named after him."
439,Ganymedes,m,Greek Mythology,Ganymedes m Greek MythologyGreek form of Ganymede.
440,Gargi,f,Hinduism,"Gargi f Hinduism, Indian, Hindi, BengaliMeaning unknown. This was the name of a 7th-century BC Indian philosopher who appears in the Upanishads, which are parts of Hindu scripture."
441,Gaspar,m,Spanish,"Gaspar m Spanish, Portuguese, Judeo-Christian LegendSpanish and Portuguese form of Jasper, as well as the Latin form."
442,Gauri,f,Hinduism,"Gauri f Hinduism, Indian, Hindi, MarathiMeans ""white"" in Sanskrit. This is a Hindu goddess, another name of Parvati the wife of Shiva, so named because of her fair complexion."
443,Gayatri,f,Hinduism,"Gayatri f Hinduism, Indian, Marathi, HindiFrom Sanskrit गायत्र (gayatra), which refers to a type of song or hymn with a particular meter. It is also the name of a Hindu goddess who is a personification of this song."
444,Gemini,m,Roman Mythology,"Gemini m Roman MythologyMeans ""twins"" in Latin. This is the name of the third sign of the zodiac. The two brightest stars in the constellation, Castor and Pollux, are named for the mythological twin sons of Leda."
445,Geraint,m,Welsh,"Geraint m Welsh, Welsh Mythology, Arthurian RomanceMeaning unknown, possibly a Welsh form of Gerontius. This was the name of a figure various Welsh legends. He was also incorporated into later Arthurian tales as one of the Knights of the Round Table and the husband of Enid."
446,Gerd 2,f,Swedish,"Gerd 2 f Swedish, Norwegian, Danish, Norse MythologyFrom Old Norse Gerðr, derived from garðr meaning ""enclosure"". In Norse myth Gerd is a beautiful frost giantess. Freyr falls in love with her, and has his servant Skírnir convince her to marry him."
447,Gerðr,f,Norse Mythology,Gerðr f Norse MythologyOld Norse form of Gerd 2.
448,Giano,m,Roman Mythology (Italianized),Giano m Roman Mythology (Italianized)Italian form of Ianus (see Janus).
449,Gilgamesh,m,Sumerian Mythology,"Gilgamesh m Sumerian Mythology, Semitic MythologyPossibly means ""the ancestor is a hero"", from Sumerian 𒉋𒂵 (bilga) meaning ""ancestor"" and 𒈩 (mes) meaning ""hero, young man"". This was the name of a Sumerian hero, later appearing in the Akkadian poem the Epic of Gilgamesh. Gilgamesh, with his friend Enkidu, battled the giant Humbaba and stopped the rampage of the Bull of Heaven, besides other adventures. Gilgamesh was probably based on a real person: a king of Uruk who ruled around the 27th century BC."
450,Giove,m,Roman Mythology (Italianized),Giove m Roman Mythology (Italianized)Italian form of Iovis (see Jove). This is the Italian name for the Roman god Jupiter.
451,Girisha,m,Hinduism,"Girisha m HinduismMeans ""lord of the mountain"" in Sanskrit. This is a name of the Hindu god Shiva, given because of his abode in the Himalayan Mountains."
452,Giunone,f,Roman Mythology (Italianized),Giunone f Roman Mythology (Italianized)Italian form of Iuno (see Juno).
453,Glaucus,m,Greek Mythology (Latinized),"Glaucus m Greek Mythology (Latinized)Latinized form of Greek Γλαῦκος (Glaukos), a name meaning ""bluish grey"". This was the name of a Greek sea god, as well as other characters in Greek legend."
454,Glaukos,m,Greek Mythology,Glaukos m Greek MythologyGreek form of Glaucus.
455,Glooscap,m,New World Mythology,"Glooscap m New World MythologyDerived from an Eastern Algonquian phrase meaning ""man from nothing"". Glooscap (or Gluskabe) was a hero involved in the creation myths of the Wabanaki people of eastern North America."
456,Goibniu,m,Irish Mythology,"Goibniu m Irish MythologyDerived from Irish gobha meaning ""smith"". This was the name of the Irish smith god, a provider of weapons for the Tuatha De Danann. He was also skilled at brewing beer."
457,Gopala,m,Hinduism,"Gopala m HinduismMeans ""cow protector"" from Sanskrit गो (go) meaning ""cow"" and पाल (pala) meaning ""guard, protector"". This is another name of the Hindu god Krishna. This name was also borne by the 8th-century founder of the Pala Empire in Bengal."
458,Gopinatha,m,Hinduism,"Gopinatha m HinduismMeans ""leader of the gopis"" in Sanskrit. This is another name of the Hindu god Krishna, acquired because of his association with the gopis, who are cow-herding girls."
459,Goronwy,m,Welsh,"Goronwy m Welsh, Welsh MythologyMeaning unknown. In the Mabinogion, a collection of tales from Welsh myth, he was the lover of Blodeuwedd. He attempted to murder her husband Lleu Llaw Gyffes but was himself killed."
460,Gotama,m,Hinduism,"Gotama m HinduismMeans ""the best ox"" from Sanskrit गो (go) meaning ""ox, cow"" and तम (tama) meaning ""best"". In Hindu texts this is the name of one of the Saptarshis, or seven sages. This name was also borne by an early Indian philosopher who wrote the Nyaya Sutras."
461,Govad,m,Persian Mythology,"Govad m Persian MythologyMeans ""wind"" in Persian. This was the name of a Yazata (or angel) associated with the wind in Zoroastrianism."
462,Govannon,m,Welsh Mythology,Govannon m Welsh MythologyWelsh cognate of Goibniu.
463,Govinda,m,Hinduism,"Govinda m Hinduism, Indian, Marathi, Malayalam, KannadaMeans ""cow finder"", derived from Sanskrit गो (go) meaning ""cow"" combined with विन्द (vinda) meaning ""finding"". This is another name of the Hindu god Krishna."
464,Gráinne,f,Irish,"Gráinne f Irish, Irish MythologyPossibly derived from Gaelic grán meaning ""grain"". This was the name of an ancient Irish grain goddess. The name also belonged to the fiancée of Fionn mac Cumhail and the lover of Diarmaid in later Irish legend, and it is often associated with gráidh meaning ""love""."
465,Grid,f,Norse Mythology,"Grid f Norse MythologyFrom Old Norse Gríðr, probably derived from either gríð ""zeal, vehemence"" or grið ""peace"". In Norse myth she was a frost giantess, the mother of Vidar by Odin. She also aided Thor in his fight against the giant Geirrod."
466,Grímhildr,f,Norse Mythology,"Grímhildr f Norse Mythology, Ancient ScandinavianOld Norse cognate of Kriemhild. In the Norse Völsungasaga Grímhildr is the mother of Gunnar and Gudrun, while in the Germanic counterpart the Nibelungenlied Kriemhild is the sister of Günther and she herself has a role equivalent to Gudrun."
467,Grimhilt,f,Ancient Germanic,"Grimhilt f Ancient Germanic, Germanic MythologyOlder Germanic form of Kriemhild."
468,Gríðr,f,Norse Mythology,Gríðr f Norse MythologyOld Norse form of Grid.
469,Gróa,f,Norse Mythology,"Gróa f Norse Mythology, IcelandicDerived from Old Norse gróa meaning ""to grow"". This is the name of a seeress in Norse mythology."
470,Gudrun,f,Norse Mythology,"Gudrun f Norse Mythology, Swedish, Norwegian, Danish, GermanFrom the Old Norse name Guðrún meaning ""god's secret lore"", derived from the elements guð ""god"" and rún ""secret lore"". In Norse legend Gudrun was the wife of Sigurd. After his death she married Atli, but when he murdered her brothers, she killed her sons by him, fed him their hearts, and then slew him."
471,Gundahar,m,Ancient Germanic,"Gundahar m Ancient Germanic, Germanic MythologyOld Germanic form of Günther."
472,Gunnar,m,Swedish,"Gunnar m Swedish, Norwegian, Danish, Icelandic, Norse MythologyFrom the Old Norse name Gunnarr, which was derived from the elements gunnr ""war"" and arr ""warrior"" (making it a cognate of Günther). In Norse legend Gunnar was the husband of Brynhildr. He had his brother-in-law Sigurd murdered based on his wife's false accusations that Sigurd had taken her virginity."
473,Gunnarr,m,Ancient Scandinavian,"Gunnarr m Ancient Scandinavian, Norse MythologyOld Norse form of Gunnar."
474,Gunnr,f,Norse Mythology,"Gunnr f Norse MythologyDerived from Old Norse gunnr meaning ""war"". This was the name of a valkyrie in Norse legend."
475,Günther,m,German,"Günther m German, Germanic MythologyFrom the Germanic name Gundahar, derived from the elements gund ""war"" and hari ""army, warrior"". This was the name of a semi-legendary 5th-century Burgundian king. He appears in the Germanic saga the Nibelungenlied, which has him wooing the Icelandic queen Brünhild. He wins her hand in marriage with the help of the hero Siegfried. He ultimately betrays Siegfried, but Siegfried's widow Kriemhild (Günther's sister) takes her revenge upon him."
